feature,importance
pe10_chg10,0.04435797665369649
cross_vol_chg10,0.016342412451361876
autocorr_5,0.01556420233463036
rate_pe_interaction,0.013229571984435773
rsi_14,0.012451361867704302
cross_vol_ma10,0.010116731517509714
rvol_10d,0.00778210116731517
price_vs_sma50,0.007003891050583655
cross_skew,0.0062256809338521405
long_rate_chg_3m,0.005447470817120626
cum_ret_5d_chg10,0.005447470817120603
sma_20_50_cross,0.004669260700389111
breadth_ma10,0.004669260700389111
macd_hist,0.0038910505836575737
long_rate_ma10,0.0038910505836575737
cum_ret_10d,0.0038910505836575737
return_p10,0.003112840466926081
avg_hl_range,0.0023346303501945664
cross_vol,0.0023346303501945442
rvol_5d,0.0023346303501945442
rsi_14_ma10,0.000778210116731537
cum_ret_5d_ma10,0.0007782101167315147
sma_5_20_cross_chg10,0.0007782101167315147
rvol_60d,0.0
pe10,-0.0007782101167315147
return_spread,-0.0007782101167315147
ret_lag_1,-0.0015564202334630516
cpi_yoy,-0.0023346303501945442
avg_return,-0.0023346303501945442
return_p90,-0.0023346303501945442
rvol_5d_chg10,-0.003112840466926059
ad_ratio,-0.003112840466926059
rsi_14_chg10,-0.003112840466926059
rvol_20d,-0.0038910505836575737
vol_ratio_5_60,-0.0038910505836575737
cpi_acceleration,-0.003891050583657596
ret_lag_4,-0.0046692607003890885
avg_vol_ratio,-0.0046692607003890885
long_rate_chg10,-0.004669260700389111
rvol_5d_ma10,-0.005447470817120603
ret_lag_3,-0.005447470817120603
ret_lag_2,-0.005447470817120603
sma_5_20_cross,-0.005447470817120603
cum_ret_5d,-0.006225680933852118
pe10_ma10,-0.006225680933852118
ret_lag_5,-0.007003891050583655
real_price_mom_12m,-0.008560311284046685
cum_ret_20d,-0.008560311284046685
breadth_chg10,-0.0093385214007782
dividend_yield,-0.010894941634241252
earnings_yield,-0.011673151750972744
long_rate,-0.01400778210116731
sma_5_20_cross_ma10,-0.01400778210116731
breadth,-0.014785992217898846
vol_ratio_5_20,-0.01712062256809339
cross_kurt,-0.022568093385213994
